person_id,day,phase,prior_aff,n_today,n_pro_next,n_detections_next,time_present_next,present_next,log_exposure_all
P01,2026-06-16,P1,0.6050835167811628,12,7,7,49.340447187423706,True,1.9459101490553132
P01,2026-06-17,P1,0.5792289673063786,7,6,6,89.14247679710388,True,1.791759469228055
P01,2026-06-18,P1,0.6523139641454114,6,8,10,39.043617725372314,True,2.302585092994046
P01,2026-06-22,P2,0.5277655693157951,10,3,3,34.97082734107971,True,1.0986122886681098
P01,2026-06-23,P2,0.40424402669796056,3,2,2,44.041377782821655,True,0.6931471805599453
P01,2026-06-25,P2,0.40424402669796056,2,6,7,50.77400255203247,True,1.9459101490553132
P01,2026-06-29,P2,0.6173323131425948,7,1,1,52.154332876205444,True,0.0
P02,2026-06-16,P1,0.11171714575141234,3,0,0,0.0,False,0.0
P02,2026-06-17,P1,0.11171714575141234,0,0,0,0.0,False,0.0
P02,2026-06-18,P1,0.11171714575141234,0,0,0,0.0,False,0.0
P02,2026-06-22,P2,0.11171714575141234,0,0,0,0.0,False,0.0
P02,2026-06-23,P2,0.11171714575141234,0,1,1,7.393608331680298,True,0.0
P02,2026-06-25,P2,0.0923456623085135,1,2,2,94.88335824012756,True,0.6931471805599453
P02,2026-06-29,P2,0.3061320656340578,2,1,1,68.24827599525452,True,0.0
P05,2026-06-16,P1,0.08286182281573598,1,0,0,0.0,False,0.0
P05,2026-06-17,P1,0.08286182281573598,0,1,1,23.227933883666992,True,0.0
P05,2026-06-18,P1,0.054736498934824976,1,0,0,0.0,False,0.0
P05,2026-06-22,P2,0.054736498934824976,0,0,0,0.0,False,0.0
P05,2026-06-23,P2,0.054736498934824976,0,0,0,0.0,False,0.0
P05,2026-06-25,P2,0.054736498934824976,0,0,0,0.0,False,0.0
P05,2026-06-29,P2,0.054736498934824976,0,0,0,0.0,False,0.0
P06,2026-06-16,P1,0.8647462635583401,3,6,6,66.07398223876953,True,1.791759469228055
P06,2026-06-17,P1,0.8765734839296684,6,2,3,69.78988647460938,True,1.0986122886681098
P06,2026-06-18,P1,0.7296173781051996,3,4,4,77.57899522781372,True,1.3862943611198906
P06,2026-06-22,P2,0.885932331388131,4,2,2,67.22501850128174,True,0.6931471805599453
P06,2026-06-23,P2,0.9298749680078975,2,0,0,0.0,False,0.0
P06,2026-06-25,P2,0.9298749680078975,0,0,0,0.0,False,0.0
P06,2026-06-29,P2,0.9298749680078975,0,0,0,0.0,False,0.0
P03,2026-06-16,P1,-0.008396901574399892,2,1,2,17.362713098526,True,0.6931471805599453
P03,2026-06-17,P1,-0.011035504808028706,2,1,1,49.50622844696045,True,0.0
P03,2026-06-18,P1,-0.011035504808028706,1,2,2,30.75537347793579,True,0.6931471805599453
P03,2026-06-22,P2,0.1555975808277709,2,1,1,14.790418148040771,True,0.0
P03,2026-06-23,P2,0.11723441266789839,1,0,0,0.0,False,0.0
P03,2026-06-25,P2,0.11723441266789839,0,2,2,20.18692111968994,True,0.6931471805599453
P03,2026-06-29,P2,0.08242482350260937,2,2,2,32.28564953804016,True,0.6931471805599453
P08,2026-06-16,P1,0.0,0,1,1,7.812118291854858,True,0.0
P08,2026-06-17,P1,-0.008209255377450831,1,0,0,0.0,False,0.0
P08,2026-06-18,P1,-0.008209255377450831,0,2,2,67.78934073448181,True,0.6931471805599453
P08,2026-06-22,P2,0.2383496717641757,2,4,5,54.33858013153076,True,1.6094379124341003
P08,2026-06-23,P2,0.7169783096553412,5,3,3,56.69730496406555,True,1.0986122886681098
P08,2026-06-25,P2,0.7603537196547636,3,1,1,33.79541873931885,True,0.0
