person_id,day_rome,phase,role,meals,n_interactions,time_present_sec
P01,2026-06-15,P1,feeder,2,12,66.86534643173218
P01,2026-06-16,P1,feeder,1,7,49.340447187423706
P01,2026-06-17,P1,feeder,6,6,89.14247679710388
P01,2026-06-18,P1,feeder,5,10,39.043617725372314
P01,2026-06-22,P2,feeder,0,3,34.97082734107971
P01,2026-06-23,P2,feeder,0,2,44.041377782821655
P01,2026-06-25,P2,feeder,2,7,50.77400255203247
P01,2026-06-29,P2,feeder,1,1,52.154332876205444
P02,2026-06-15,P1,normal,0,3,113.15700840950012
P02,2026-06-23,P2,normal,0,1,7.393608331680298
P02,2026-06-25,P2,normal,2,2,94.88335824012756
P02,2026-06-29,P2,normal,1,1,68.24827599525452
P03,2026-06-15,P1,no_feed,0,2,39.65507483482361
P03,2026-06-16,P1,no_feed,0,2,17.362713098526
P03,2026-06-17,P1,no_feed,0,1,49.50622844696045
P03,2026-06-18,P1,no_feed,0,2,30.75537347793579
P03,2026-06-22,P2,no_feed,0,1,14.790418148040771
P03,2026-06-25,P2,no_feed,0,2,20.18692111968994
P03,2026-06-29,P2,no_feed,0,2,32.28564953804016
P04,2026-06-16,P1,normal,0,1,0.0
P04,2026-06-22,P2,normal,0,1,23.536510467529297
P04,2026-06-23,P2,normal,3,2,56.1923143863678
P04,2026-06-25,P2,normal,0,2,40.03309917449951
P04,2026-06-29,P2,normal,0,4,48.39715337753296
P05,2026-06-15,P1,normal,0,1,16.307861804962158
P05,2026-06-17,P1,normal,0,1,23.227933883666992
P06,2026-06-15,P1,feeder,1,3,53.112430810928345
P06,2026-06-16,P1,feeder,3,6,66.07398223876953
P06,2026-06-17,P1,feeder,3,3,69.78988647460938
P06,2026-06-18,P1,feeder,5,4,77.57899522781372
P06,2026-06-22,P2,feeder,2,2,67.22501850128174
P07,2026-06-16,P1,normal,1,3,13.949374914169312
P07,2026-06-17,P1,normal,0,1,34.511544942855835
P07,2026-06-22,P2,normal,1,1,56.09839487075806
P07,2026-06-25,P2,normal,0,1,47.671870470047
P07,2026-06-29,P2,normal,0,2,32.69578957557678
P08,2026-06-16,P1,normal,0,1,7.812118291854858
P08,2026-06-18,P1,normal,2,2,67.78934073448181
P08,2026-06-22,P2,normal,4,5,54.33858013153076
P08,2026-06-23,P2,normal,0,3,56.69730496406555
P08,2026-06-25,P2,normal,1,1,33.79541873931885
P08,2026-06-29,P2,normal,2,4,31.293416261672974
P09,2026-06-16,P1,normal,0,2,11.717148542404175
P09,2026-06-18,P1,normal,2,1,63.43092703819275
P09,2026-06-22,P2,normal,0,1,6.932920694351196
P10,2026-06-16,P1,normal,6,8,106.85755586624146
P10,2026-06-17,P1,normal,5,12,70.94324970245361
P10,2026-06-18,P1,normal,1,2,75.29520034790039
P10,2026-06-22,P2,normal,1,1,88.99519371986389
P10,2026-06-23,P2,normal,2,3,87.53528618812561
P10,2026-06-25,P2,normal,1,7,85.22969913482666
P10,2026-06-29,P2,normal,0,1,8.551355361938477
P11,2026-06-16,P1,no_feed,0,3,44.994060039520264
P11,2026-06-17,P1,no_feed,0,2,73.08250260353088
P11,2026-06-18,P1,no_feed,0,3,8.634320497512817
P11,2026-06-25,P2,no_feed,1,1,69.45824718475342
P12,2026-06-16,P1,normal,2,1,121.54532027244568
P12,2026-06-18,P1,normal,0,4,65.37486338615417
P12,2026-06-22,P2,normal,0,1,6.081023693084717
P12,2026-06-23,P2,normal,1,3,33.44429850578308
P12,2026-06-25,P2,normal,0,3,45.61114692687988
P13,2026-06-16,P1,normal,2,2,86.86753058433533
P13,2026-06-17,P1,normal,1,3,9.125942945480347
P13,2026-06-18,P1,normal,1,4,8.673391819000244
P13,2026-06-25,P2,normal,2,2,47.1352641582489
P13,2026-06-29,P2,normal,0,1,65.86980509757996
P14,2026-06-18,P1,normal,0,2,18.26044750213623
