person_id,day_rome,phase,role,attended,n_interactions,meal_count,delivered_energy,attended_sheet
P10,2026-06-15,P1,normal,0,0.0,0.0,0.0,0
P10,2026-06-16,P1,normal,1,8.0,6.0,235.0,1
P10,2026-06-17,P1,normal,1,12.0,5.0,210.0,1
P10,2026-06-18,P1,normal,1,2.0,1.0,45.0,1
P10,2026-06-22,P2,normal,1,1.0,1.0,25.0,1
P10,2026-06-23,P2,normal,1,3.0,2.0,50.0,1
P10,2026-06-25,P2,normal,1,7.0,1.0,70.0,1
P10,2026-06-29,P2,normal,1,1.0,0.0,0.0,0
P05,2026-06-15,P1,normal,1,1.0,0.0,10.0,1
P05,2026-06-16,P1,normal,0,0.0,0.0,0.0,0
P05,2026-06-17,P1,normal,1,1.0,0.0,0.0,1
P05,2026-06-18,P1,normal,0,0.0,0.0,0.0,0
P05,2026-06-22,P2,normal,1,0.0,0.0,0.0,1
P05,2026-06-23,P2,normal,1,0.0,0.0,0.0,1
P05,2026-06-25,P2,normal,1,0.0,0.0,0.0,1
P05,2026-06-29,P2,normal,0,0.0,0.0,0.0,0
P09,2026-06-15,P1,normal,0,0.0,0.0,0.0,0
P09,2026-06-16,P1,normal,1,2.0,0.0,0.0,1
P09,2026-06-17,P1,normal,0,0.0,0.0,0.0,0
P09,2026-06-18,P1,normal,1,1.0,2.0,70.0,1
P09,2026-06-22,P2,normal,1,1.0,0.0,0.0,1
P09,2026-06-23,P2,normal,1,0.0,0.0,0.0,1
P09,2026-06-25,P2,normal,0,0.0,0.0,0.0,0
P09,2026-06-29,P2,normal,0,0.0,0.0,0.0,0
P13,2026-06-15,P1,normal,0,0.0,0.0,0.0,0
P13,2026-06-16,P1,normal,1,2.0,2.0,80.0,1
P13,2026-06-17,P1,normal,1,3.0,1.0,80.0,1
P13,2026-06-18,P1,normal,1,4.0,1.0,10.0,1
P13,2026-06-22,P2,normal,0,0.0,0.0,0.0,0
P13,2026-06-23,P2,normal,0,0.0,0.0,0.0,0
P13,2026-06-25,P2,normal,1,2.0,2.0,50.0,1
P13,2026-06-29,P2,normal,1,1.0,0.0,0.0,1
P03,2026-06-15,P1,no_feed,1,2.0,0.0,0.0,1
P03,2026-06-16,P1,no_feed,1,2.0,0.0,0.0,1
P03,2026-06-17,P1,no_feed,1,1.0,0.0,0.0,1
P03,2026-06-18,P1,no_feed,1,2.0,0.0,70.0,1
P03,2026-06-22,P2,no_feed,1,1.0,0.0,0.0,0
P03,2026-06-23,P2,no_feed,0,0.0,0.0,0.0,0
P03,2026-06-25,P2,no_feed,1,2.0,0.0,0.0,0
P03,2026-06-29,P2,no_feed,1,2.0,0.0,0.0,1
P06,2026-06-15,P1,feeder,1,3.0,1.0,50.0,1
P06,2026-06-16,P1,feeder,1,6.0,3.0,120.0,1
P06,2026-06-17,P1,feeder,1,3.0,3.0,45.0,1
P06,2026-06-18,P1,feeder,1,4.0,5.0,135.0,1
P06,2026-06-22,P2,feeder,1,2.0,2.0,50.0,1
