chat_id,exec_run_id,ping_id,ping_type,replied,control_replied,window_min
S01,5b99e872377a41f09ad3b2a0b795c18b,44,hs3_proactive,0,0.0,15
S01,5b99e872377a41f09ad3b2a0b795c18b,53,hs3_proactive,0,0.0,15
S01,5b99e872377a41f09ad3b2a0b795c18b,61,hs3_proactive,0,0.0,15
S01,c7f32d254fed4f6a8d39d08a487bccfc,242,hs3_proactive,0,0.0,15
S01,cb1fca0922594f4ba6bd46d3982dc589,307,hs3_proactive,1,0.0,15
S01,cb1fca0922594f4ba6bd46d3982dc589,343,hs3_proactive,0,0.0,15
S01,b6598f788a9d424b928d8f9a1f1ccc36,432,hs2_entry,0,0.0,15
S01,b6598f788a9d424b928d8f9a1f1ccc36,441,hs2_entry,0,0.0,15
S01,b6598f788a9d424b928d8f9a1f1ccc36,458,hs2_entry,0,0.0,15
S01,b6598f788a9d424b928d8f9a1f1ccc36,464,hs3_proactive,0,0.0,15
S01,928e8a5fae93491f9eff4bb5305132db,502,hs2_entry,1,0.0,15
S01,928e8a5fae93491f9eff4bb5305132db,546,hs2_entry,0,0.0,15
S01,928e8a5fae93491f9eff4bb5305132db,554,hs2_entry,0,0.0,15
S01,928e8a5fae93491f9eff4bb5305132db,561,hs2_entry,0,0.0,15
S01,928e8a5fae93491f9eff4bb5305132db,589,hs2_entry,0,0.0,15
S01,3471fa80302344f3bf7da0d283f2246e,603,hs2_entry,0,0.0,15
S01,3471fa80302344f3bf7da0d283f2246e,611,hs2_entry,0,0.0,15
S01,3471fa80302344f3bf7da0d283f2246e,623,hs3_proactive,0,0.0,15
S01,3471fa80302344f3bf7da0d283f2246e,661,hs2_entry,0,0.0,15
S01,3471fa80302344f3bf7da0d283f2246e,667,hs2_entry,0,0.0,15
S01,02d6ec4288c846cb869f00e3dac804c6,673,hs2_entry,0,0.0,15
S01,02d6ec4288c846cb869f00e3dac804c6,681,hs2_entry,0,0.0,15
S01,02d6ec4288c846cb869f00e3dac804c6,691,hs2_entry,0,0.0,15
S01,02d6ec4288c846cb869f00e3dac804c6,697,hs2_entry,0,0.0,15
S01,02d6ec4288c846cb869f00e3dac804c6,715,hs2_entry,0,0.0,15
S01,361fc67bb2ea4c5387751d2ccd9e8646,721,hs2_entry,0,0.0,15
S01,361fc67bb2ea4c5387751d2ccd9e8646,737,hs2_entry,0,0.0,15
S01,361fc67bb2ea4c5387751d2ccd9e8646,757,hs2_entry,0,0.0,15
S02,5b99e872377a41f09ad3b2a0b795c18b,43,hs3_proactive,0,0.0,15
S02,5b99e872377a41f09ad3b2a0b795c18b,52,hs3_proactive,0,0.0,15
S02,5b99e872377a41f09ad3b2a0b795c18b,60,hs3_proactive,0,0.0,15
S02,c7f32d254fed4f6a8d39d08a487bccfc,241,hs3_proactive,0,0.0,15
S02,cb1fca0922594f4ba6bd46d3982dc589,306,hs3_proactive,0,0.0,15
S02,cb1fca0922594f4ba6bd46d3982dc589,342,hs3_proactive,0,0.0,15
S02,b6598f788a9d424b928d8f9a1f1ccc36,474,hs3_proactive,0,0.0,15
S02,3471fa80302344f3bf7da0d283f2246e,634,hs3_proactive,1,0.0,15
S03,5b99e872377a41f09ad3b2a0b795c18b,42,hs3_proactive,0,0.0,15
S03,5b99e872377a41f09ad3b2a0b795c18b,51,hs3_proactive,0,0.0,15
S03,5b99e872377a41f09ad3b2a0b795c18b,59,hs3_proactive,1,0.0,15
S03,c7f32d254fed4f6a8d39d08a487bccfc,240,hs3_proactive,0,0.0,15
S03,cb1fca0922594f4ba6bd46d3982dc589,305,hs3_proactive,0,0.0,15
S03,cb1fca0922594f4ba6bd46d3982dc589,341,hs3_proactive,0,0.0,15
S03,b6598f788a9d424b928d8f9a1f1ccc36,473,hs3_proactive,0,0.0,15
S03,3471fa80302344f3bf7da0d283f2246e,633,hs3_proactive,0,0.0,15
S04,5b99e872377a41f09ad3b2a0b795c18b,45,hs3_proactive,1,0.0,15
S04,5b99e872377a41f09ad3b2a0b795c18b,54,hs3_proactive,0,0.0,15
S04,5b99e872377a41f09ad3b2a0b795c18b,62,hs3_proactive,0,0.0,15
S04,c7f32d254fed4f6a8d39d08a487bccfc,243,hs3_proactive,0,0.0,15
S04,cb1fca0922594f4ba6bd46d3982dc589,308,hs3_proactive,0,0.0,15
