feature,auc_without,pr_auc_without,auc_loss,pr_auc_loss
ss_rank,0.8562152133580705,0.8776224575339797,0.07680890538033402,0.07660157489496255
cent,0.9020408163265305,0.9415515586219199,0.03098330241187397,0.01267247380702241
hs_rank,0.9028756957328385,0.9312208710432845,0.030148423005565972,0.023003161385657722
attention_frac,0.9167903525046384,0.944117788545327,0.016233766233766156,0.010106243883615251
copresence,0.9185528756957329,0.9350730650088745,0.014471243042671667,0.01915096742006772
gaze,0.9279220779220779,0.9509657135445555,0.005102040816326592,0.0032583188843867683
hour_of_day,0.9324675324675324,0.9525279242813209,0.0005565862708720726,0.0016961081476213336
prox,0.9344155844155844,0.9544055511771554,-0.0013914656771798484,-0.00018151874821314973
ips_mean,0.9356215213358071,0.9552735908528253,-0.0025974025974025983,-0.0010495584238829903
ips_max,0.9387755102040817,0.9545362835057449,-0.005751391465677158,-0.00031225107680266095
cos_angle,0.9391465677179964,0.9601887554387927,-0.00612244897959191,-0.005964723009850403
vel,0.9403525046382188,0.9588427909137863,-0.007328385899814327,-0.004618758484844054
talking_rate,0.9449907235621522,0.9624004201013738,-0.011966604823747673,-0.008176387672431562
